rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,ls_period,ls_power,period_discrepancy_ratio,fap_ls
982,983,182.01,182,76989773,76989773.01,1,APC,23h33m10.56s,353.293998,,,-35d27m50.37s,-35.463992,,,-107.298,0.451,-0.451,0.0,1.0,-66.417,0.536,-0.536,0.0,1.0,2458355.08255,0.00013,-0.00013,0,1,1.76918,3e-05,-3e-05,0,1,1.768,0.055,-0.055,0,1,9570.0,27.3356,-27.3356,0,1,11.6236,0.680425,-0.680425,0,1,1670.21,,,,,1780.0,,,,,9.683,0.006,-0.006,0,1,107.399,2.936,-2.936,0,1,5569.0,187.0,-187.0,0,1,4.32065,0.291747,-0.291747,0,1,0.96,0.03,-0.03,0,1,2018-11-03 00:36:48,2021-10-29 12:59:15,1.77776282125806,0.02019163741388203,0.9951721224252027,4.779655096289741e-202
1084,1085,1906.01,1906,308098254,308098254.01,1,KP,11h13m10.3s,168.292908,,,-17d39m28s,-17.657779,,,6.008,0.077,-0.077,0.0,1.0,-7.754,0.047,-0.047,0.0,1.0,2459299.07674,0.001004,-0.001004,0,1,9.6246665,1.75e-05,-1.75e-05,0,1,4.297,0.316,-0.316,0,1,10230.0,2.72051,-2.72051,0,1,12.3182,0.681292,-0.681292,0,1,121.918,,,,,925.0,,,,,11.5688,0.006,-0.006,0,1,310.841,4.0695,-4.0695,0,1,5473.0,123.4,-123.4,0,1,4.26,0.08,-0.08,0,1,1.2,0.06,-0.06,0,1,2020-05-29 17:45:53,2021-11-11 10:10:01,8.226317946717863,0.002229279351026765,1.1699847443703595,3.7260280106494465e-62
1087,1088,1909.01,1909,232038798,232038798.01,1,KP,06h26m58.71s,96.744643,,,-46d49m16.91s,-46.821364,,,0.077,0.042,-0.042,0.0,1.0,20.496,0.038,-0.038,0.0,1.0,2459252.138447,0.000281,-0.000281,0,1,4.1536624,2.7e-06,-2.7e-06,0,1,1.702,0.151,-0.151,0,1,12310.0,5.14588,-5.14588,0,1,12.7595,0.652224,-0.652224,0,1,278.886,,,,,1138.0,,,,,11.3187,0.006,-0.006,0,1,303.941,1.8995,-1.8995,0,1,5818.8,409.4,-409.4,0,1,4.24,0.39,-0.39,0,1,1.09,0.05,-0.05,0,1,2020-05-29 17:45:53,2021-10-29 12:59:15,4.173825525242243,0.007205182250315856,0.9951691499512134,0.0
1103,1104,1923.01,1923,114299824,114299824.01,1,KP,07h37m08.01s,114.283382,,,-32d45m19.51s,-32.755419,,,-6.283,0.026,-0.026,0.0,1.0,0.531,0.031,-0.031,0.0,1.0,2459229.337707,0.001062,-0.001062,0,1,4.2042078,1.04e-05,-1.04e-05,0,1,2.124,0.334,-0.334,0,1,12080.0,28.1462,-28.1462,0,1,12.1025,0.809459,-0.809459,0,1,355.909,,,,,1210.0,,,,,12.9264,0.006,-0.006,0,1,609.838,6.0405,-6.0405,0,1,6781.0,133.6,-133.6,0,1,4.54,0.09,-0.09,0,1,1.07,0.05,-0.05,0,1,2020-05-29 17:45:53,2025-06-04 16:00:01,8.617225026810646,0.006811743552264191,0.4878841839361871,0.0
1168,1169,1982.01,1982,437329044,437329044.01,1,PC,13h50m20.36s,207.584824,,,-23d23m00.16s,-23.383379,,,-29.626,0.071,-0.071,0.0,1.0,-6.568,0.061,-0.061,0.0,1.0,2459323.825798,0.001163,-0.001163,0,1,17.1725007,3.7e-05,-3.7e-05,0,1,5.016,0.206,-0.206,0,1,3610.0,0.822301,-0.822301,0,1,9.89011,0.430682,-0.430682,0,1,107.942,,,,,897.0,,,,,10.1919,0.006,-0.006,0,1,266.509,2.845,-2.845,0,1,6617.0,235.2,-235.2,0,1,4.21,0.39,-0.39,0,1,1.41,0.06,-0.06,0,1,2020-06-17 17:40:45,2023-01-24 16:02:02,1.5447099121037984,0.00752306865693016,11.116974498216385,3.227909346092096e-67
1174,1175,1988.01,1988,161156159,161156159.01,1,FP,12h40m31.8s,190.132487,,,-48d44m27.25s,-48.740903,,,4.353,0.055,-0.055,0.0,1.0,0.291,0.053,-0.053,0.0,1.0,2460064.293216,0.001691,-0.001691,0,1,2.2818488,3.8e-06,-3.8e-06,0,1,3.973,0.427,-0.427,0,1,1483.0,30.2245,-30.2245,0,1,7.2854,0.417761,-0.417761,0,1,2351.9,,,,,1940.0,,,,,10.1854,0.006,-0.006,0,1,299.378,7.0665,-7.0665,0,1,5368.0,124.8,-124.8,0,1,,,,0,1,2.15,0.12,-0.12,0,1,2020-06-17 20:08:08,2023-05-31 16:02:02,1.135792936690519,0.07933346048969948,2.0090359134023728,4.2026300452065974e-281
1197,1198,2008.01,2008,70887357,70887357.01,1,FP,04h15m25.83s,63.857632,,,-16d54m07.72s,-16.902144,,,47.551,0.054,-0.054,0.0,1.0,-30.747,0.053,-0.053,0.0,1.0,2458454.33261,0.001777,-0.001777,0,1,723.8345008,0.0025789,-0.0025789,0,1,7.382946,0.1210206,-0.1210206,0,1,3119.2983693,64.100075,-64.100075,0,1,13.1361697,0.7173174,-0.7173174,0,1,1.3572621,,,,,275.2869842,,,,,8.64807,0.006,-0.006,0,1,139.212,0.7375,-0.7375,0,1,5463.0,186.0,-186.0,0,1,3.77778,0.281727,-0.281727,0,1,1.94771,0.102432,-0.102432,0,1,2020-06-17 20:19:42,2024-09-18 10:08:02,3.4779393448334215,0.004106094464760202,208.12165740477244,1.2303272327859327e-25
1253,1254,2053.01,2053,315755496,315755496.01,1,FP,20h41m19.53s,310.331372,,,+82d26m07.09s,82.435302,,,-4.745,0.038,-0.038,0.0,1.0,8.296,0.038,-0.038,0.0,1.0,2459394.643317,0.002919,-0.002919,0,1,4.27808,0.00013,-0.00013,0,1,1.9576205,0.4452874,-0.4452874,0,1,1096.6013542,112.49688,-112.49688,0,1,17.8096125,13.428784,-13.428784,0,1,528.551257,,,,,1222.901639,,,,,10.5008,0.007,-0.007,0,1,583.511,7.1165,-7.1165,0,1,4772.0,122.0,-122.0,0,1,,,,0,1,5.2787499,,,0,1,2020-06-19 07:20:04,2021-10-29 12:59:15,4.403738907234306,0.0016125879482644968,0.9714654047659642,8.078770432387858e-32
1302,1303,2092.01,2092,393965778,393965778.01,1,PC,14h10m11.4s,212.547487,,,+45d33m49.92s,45.563868,,,95.843,0.044,-0.044,0.0,1.0,-29.282,0.047,-0.047,0.0,1.0,2458740.668245,0.002049,-0.002049,0,1,4.3032642,1.31e-05,-1.31e-05,0,1,2.5737232,0.2481602,-0.2481602,0,1,710.7656808,57.577896,-57.577896,0,1,2.66568,0.201109,-0.201109,0,1,195.793,,,,,1042.0,,,,,10.6375,0.006,-0.006,0,1,176.759,1.008,-1.008,0,1,5468.73,114.582,-114.582,0,1,4.37458,0.0792873,-0.0792873,0,1,1.05,0.05,-0.05,0,1,2020-07-15 20:44:31,2025-08-01 10:05:58,3.7955793061559833,0.001972023017629615,1.133756892662106,2.0874794815759402e-24
1330,1331,2110.01,2110,394029948,394029948.01,1,FA,18h48m55.11s,282.229631,,,+78d34m08.21s,78.568946,,,27.204,0.046,-0.046,0.0,1.0,20.522,0.041,-0.041,0.0,1.0,2458687.55509,0.00851,-0.00851,0,1,32.76639,0.00245,-0.00245,0,1,6.089,0.782,-0.782,0,1,500.0,1.92442,-1.92442,0,1,3.20531,0.260256,-0.260256,0,1,38.3962,,,,,693.0,,,,,9.69902,0.006,-0.006,0,1,182.323,0.7245,-0.7245,0,1,6073.0,134.0,-134.0,0,1,4.21,0.08,-0.08,0,1,1.39,0.07,-0.07,0,1,2020-07-28 21:38:56,2024-09-18 10:08:02,5.453492497010915,0.00037250733043991485,6.008331361592487,2.4161019189282006e-58
1335,1336,2114.01,2114,9828416,9828416.01,1,PC,17h24m23.13s,261.096395,,,+33d12m18.26s,33.205073,,,-7.865,0.04,-0.04,0.0,1.0,-3.024,0.045,-0.045,0.0,1.0,2460476.661598,0.000989,-0.000989,0,1,6.2099619,6e-06,-6e-06,0,1,4.49,0.398,-0.398,0,1,4090.0,0.618771,-0.618771,0,1,14.369,0.682371,-0.682371,0,1,1293.02,,,,,1670.0,,,,,9.8251,0.007,-0.007,0,1,317.845,2.447,-2.447,0,1,6382.0,131.3,-131.3,0,1,3.9,0.09,-0.09,0,1,2.1,0.1,-0.1,0,1,2020-07-28 21:38:56,2024-08-29 10:08:02,1.9713378730380764,0.009111832549512124,3.1501255999458264,1.3904029358962326e-195
1352,1353,213.01,213,234345288,234345288.01,1,PC,02h35m32.95s,38.887291,,,-71d37m27.29s,-71.624247,,,50.866,0.044,-0.044,0.0,1.0,-19.872,0.036,-0.036,0.0,1.0,2460177.887219,0.003301,-0.003301,0,1,23.5199045,6.22e-05,-6.22e-05,0,1,3.222,0.919,-0.919,0,1,1243.0,89.763,-89.763,0,1,2.30502,0.206315,-0.206315,0,1,10.453,,,,,500.0,,,,,9.7806,0.006,-0.006,0,1,54.3256,0.0575,-0.0575,0,1,4566.4,64.0,-64.0,0,1,4.93,0.12,-0.12,0,1,0.67,0.05,-0.05,0,1,2018-11-14 15:06:55,2024-05-02 10:08:02,8.370923992897776,0.03625345549060092,2.809714258540063,0.0
1419,1420,2186.01,2186,238171173,238171173.01,1,PC,23h48m00.56s,357.002336,,,-68d29m15.71s,-68.487698,,,20.72,0.025,-0.025,0.0,1.0,-9.352,0.028,-0.028,0.0,1.0,2459040.677411,0.000834,-0.000834,0,1,4.476922,5.9e-06,-5.9e-06,0,1,2.971921,0.0958902,-0.0958902,0,1,9095.8829177,221.86465,-221.86465,0,1,14.3955457,0.3062811,-0.3062811,0,1,636.8120268,,,,,1281.2166202,,,,,13.0654,0.006,-0.006,0,1,771.822,9.369,-9.369,0,1,5772.2,5876.6,-5876.6,0,1,4.4,,,0,1,1.37148,,,0,1,2020-09-18 16:26:01,2024-12-05 16:02:02,0.7461558705370053,0.002663875498669035,5.999982278204121,2.8999532805362585e-47
1420,1421,2187.01,2187,270472265,270472265.01,1,PC,06h27m45.79s,96.940806,,,-79d24m35.2s,-79.409779,,,-1.873,0.023,-0.023,0.0,1.0,26.889,0.026,-0.026,0.0,1.0,2460016.915327,0.001411,-0.001411,0,1,2.7492277,2.1e-06,-2.1e-06,0,1,1.688,0.048,-0.048,0,1,11250.0,2.66235,-2.66235,0,1,12.683,,,0,1,271.924,,,,,1131.0,,,,,13.0769,0.006,-0.006,0,1,587.277,4.298,-4.298,0,1,5344.0,5585.9,-5585.9,0,1,4.4,2.0,-2.0,0,1,1.14,,,0,1,2020-09-18 16:26:01,2023-10-05 14:31:09,0.9164710034345525,0.003314519882694927,2.9997978001453807,4.250140399211246e-250
1430,1431,2196.01,2196,372172128,372172128.01,1,CP,20h49m21.62s,312.340074,,,-70d29m06.26s,-70.485072,,,16.357,0.035,-0.035,0.0,1.0,-19.981,0.039,-0.039,0.0,1.0,2459036.508778,0.002703,-0.002703,0,1,1.1953968,0.0002673,-0.0002673,0,1,1.5752293,0.746582,-0.746582,0,1,1127.2344564,156.07317,-156.07317,0,1,3.5030245,4.726927,-4.726927,0,1,2072.5203184,,,,,1720.8556767,,,,,11.3643,0.006,-0.006,0,1,259.947,2.0205,-2.0205,0,1,5728.0,129.238,-129.238,0,1,4.4217,0.0769563,-0.0769563,0,1,1.02917,0.0498618,-0.0498618,0,1,2020-09-18 16:26:01,2022-08-15 12:02:56,3.2966878226603016,0.003206642399859646,0.36260539799469405,6.469649822695752e-23
1467,1468,2229.01,2229,143410850,143410850.01,1,PC,19h38m17.32s,294.572181,,,-46d23m53.08s,-46.398078,,,7.962,0.073,-0.073,0.0,1.0,-18.752,0.044,-0.044,0.0,1.0,2458660.25609,0.00632,-0.00632,0,1,4.98668,0.00011,-0.00011,0,1,2.267,0.717,-0.717,0,1,860.0,5.31209,-5.31209,0,1,5.51463,0.494476,-0.494476,0,1,339.923,,,,,1196.0,,,,,10.6658,0.006,-0.006,0,1,329.989,4.857,-4.857,0,1,6046.0,130.3,-130.3,0,1,4.06,0.08,-0.08,0,1,1.64,0.08,-0.08,0,1,2020-09-18 21:10:22,2021-10-29 12:59:15,2.853578419481214,0.0006896611966060736,1.7475181217927025,0.9999999917790763
1507,1508,2265.01,2265,310231275,310231275.01,1,PC,15h59m09.06s,239.787768,,,+32d23m45.5s,32.395973,,,42.28,2.0,-2.0,0.0,1.0,-102.94,2.0,-2.0,0.0,1.0,2458956.331721,0.001204,-0.001204,0,1,0.8294084,3.74e-05,-3.74e-05,0,1,0.5583289,0.0989583,-0.0989583,0,1,254.6127529,36.708115,-36.708115,0,1,2.4799192,2.4183564,-2.4183564,0,1,4983.6132078,,,,,2142.9193755,,,,,9.1021,0.006,-0.006,0,1,88.0815,,,0,1,5951.67,,,0,1,4.438,,,0,1,1.52424,,,0,1,2020-09-30 13:26:55,2021-10-29 12:59:15,1.655640992507653,0.588615988228017,0.5009590869961298,0.0
1509,1510,2267.01,2267,459837008,459837008.01,1,CP,04h20m14.76s,65.061496,,,+84d54m02.97s,84.900824,,,192.45,2.0,-2.0,0.0,1.0,-218.94,2.0,-2.0,0.0,1.0,2458816.152459,0.000833,-0.000833,0,1,3.4950422,8.7e-06,-8.7e-06,0,1,1.0311342,0.112701,-0.112701,0,1,2004.426903,204.97464,-204.97464,0,1,1.2734423,0.1111988,-0.1111988,0,1,6.0694989,,,,,400.3206181,,,,,12.2591,0.007,-0.007,0,1,,,,0,1,3022.0,157.0,-157.0,0,1,4.99625,0.013126,-0.013126,0,1,0.242745,0.0079963,-0.0079963,0,1,2020-09-30 13:26:55,2025-08-20 12:05:05,0.6956576838502816,0.025720561697401445,5.0240833690729385,0.0
1535,1536,2286.01,2286,237201858,237201858.01,1,PC,19h31m17.6s,292.823315,,,+72d32m17.94s,72.538317,,,-15.379,0.04,-0.04,0.0,1.0,12.25,0.043,-0.043,0.0,1.0,2458811.504844,0.005684,-0.005684,0,1,179.4031712,0.0014116,-0.0014116,0,1,10.7569968,0.6734482,-0.6734482,0,1,618.5780905,44.126,-44.126,0,1,3.7472354,0.6792988,-0.6792988,0,1,8.4378703,,,,,434.6883098,,,,,9.85236,0.006,-0.006,0,1,233.507,1.0275,-1.0275,0,1,6863.0,212.202,-212.202,0,1,4.27882,0.0938819,-0.0938819,0,1,1.4648,0.0625327,-0.0625327,0,1,2020-09-30 13:26:56,2023-05-19 16:02:01,9.816853693493904,0.00016352869151618513,18.27501731220656,4.4991835808219303e-72
1543,1544,2293.01,2293,71347873,71347873.01,1,PC,07h42m22.41s,115.593377,,,+70d24m14.67s,70.404076,,,45.254,0.038,-0.038,0.0,1.0,-120.785,0.058,-0.058,0.0,1.0,2459600.314533,0.00332,-0.00332,0,1,6.0683318,1.69e-05,-1.69e-05,0,1,1.9825707,0.3656837,-0.3656837,0,1,1742.7332385,121.83509,-121.83509,0,1,2.1199939,0.8297539,-0.8297539,0,1,15.1794104,,,,,503.4234887,,,,,11.814,0.007,-0.007,0,1,62.7576,0.12815,-0.12815,0,1,3668.0,157.0,-157.0,0,1,4.73795,0.0081443,-0.0081443,0,1,0.499376,0.0148842,-0.0148842,0,1,2020-09-30 13:26:56,2023-05-22 16:02:02,2.2779897439081527,0.000917958865557295,2.66389777049175,9.929471251466386e-34
1545,1546,2295.01,2295,48018596,48018596.01,1,PC,18h46m18.29s,281.576196,,,+50d29m32.88s,50.492466,,,-61.841,0.049,-0.049,0.0,1.0,26.834,0.045,-0.045,0.0,1.0,2458713.454918,0.001557,-0.001557,0,1,60.06632,7.73e-05,-7.73e-05,0,1,2.409,0.661,-0.661,0,1,990.0,1334.08,-1334.08,0,1,7.64759,2.31535,-2.31535,0,1,42.0912,,,,,709.0,,,,,9.00772,0.006,-0.006,0,1,126.279,0.395,-0.395,0,1,5660.0,124.128,-124.128,0,1,4.10485,0.0742244,-0.0742244,0,1,1.47,0.07,-0.07,0,1,2020-09-30 13:26:57,2024-10-18 10:08:02,3.3787226351225708,0.0016954718678198787,17.77781916029368,3.5705927686384354e-283
1566,1567,2312.01,2312,147425389,147425389.01,1,PC,21h50m28.24s,327.617657,,,-46d17m42.93s,-46.295257,,,15.056,3.328,-3.328,0.0,1.0,-1.793,3.329,-3.329,0.0,1.0,2459063.37533,0.000734,-0.000734,0,1,3.1856867,4.2e-06,-4.2e-06,0,1,3.1050115,0.0933981,-0.0933981,0,1,7776.6827786,182.8755,-182.8755,0,1,,,,0,1,556.4403323,,,,,1238.7235661,,,,,12.526,0.006,-0.006,0,1,490.314,,,0,1,5590.5,5635.3,-5635.3,0,1,4.4,,,0,1,,,,0,1,2020-10-01 13:35:30,2024-04-25 10:08:01,0.5317247014885363,0.005591822054120941,5.991233228551978,5.306296314557827e-49
1593,1594,2334.01,2334,200743403,200743403.01,1,PC,03h16m37.01s,49.154193,,,-48d06m28.5s,-48.107918,,,23.591,0.077,-0.077,0.0,1.0,-11.286,0.094,-0.094,0.0,1.0,2459169.12445,0.001609,-0.001609,0,1,7.9980831,2.63e-05,-2.63e-05,0,1,3.047,0.302,-0.302,0,1,3960.0,2.9403,-2.9403,0,1,10.9403,0.717797,-0.717797,0,1,97.3629,,,,,875.0,,,,,12.1385,0.006,-0.006,0,1,593.163,17.5995,-17.5995,0,1,5556.0,131.5,-131.5,0,1,3.97,0.08,-0.08,0,1,1.7,0.1,-0.1,0,1,2020-10-23 19:58:26,2021-10-29 12:59:15,,,,
1649,1650,2383.01,2383,20897611,20897611.01,1,APC,00h05m56.36s,1.484836,,,-20d39m14.24s,-20.653955,,,-6.667,0.086,-0.086,0.0,1.0,-49.57,0.088,-0.088,0.0,1.0,2459108.591423,0.000505,-0.000505,0,1,3.1353607,9.6e-06,-9.6e-06,0,1,1.438,0.252,-0.252,0,1,8634.0,11687.6,-11687.6,0,1,22.286,3.74898,-3.74898,0,1,459.818,,,,,1290.0,,,,,10.459,0.007,-0.007,0,1,174.593,2.695,-2.695,0,1,5503.0,5569.7,-5569.7,0,1,4.4,0.3,-0.3,0,1,1.06,0.06,-0.06,0,1,2020-11-06 18:59:45,2023-11-16 16:02:02,3.8202558668535294,0.5362243144803034,0.8207200798260593,0.0
1656,1657,239.01,239,9725627,9725627.01,1,KP,23h53m38.03s,358.408479,,,-10d07m05.22s,-10.118118,,,-19.202,0.117,-0.117,0.0,1.0,-8.172,0.07,-0.07,0.0,1.0,2458356.962228,0.000327,-0.000327,0,1,4.1567834,2e-06,-2e-06,0,1,3.9413609,0.0556261,-0.0556261,0,1,4830.1859522,54.11281,-54.11281,0,1,9.8517709,0.5595267,-0.5595267,0,1,941.6088632,,,,,1412.8217887,,,,,10.9774,0.008,-0.008,0,1,353.539,9.056,-9.056,0,1,6362.5,83.0,-83.0,0,1,4.59,0.16,-0.16,0,1,1.38831,0.0749473,-0.0749473,0,1,2018-11-29 21:52:42,2024-11-27 10:08:01,2.078581354711931,0.018612647151442556,1.999817515237976,0.0
1718,1719,2441.02,2441,219175972,219175972.02,2,PC,06h05m38.44s,91.410152,,,-51d40m46.61s,-51.679614,,,-55.154,0.055,-0.055,0.0,1.0,128.546,0.067,-0.067,0.0,1.0,2458325.908591,0.004313,-0.004313,0,1,5.5514857,4.36e-05,-4.36e-05,0,1,2.0186927,0.3861085,-0.3861085,0,1,1282.3227899,198.73074,-198.73074,0,1,2.0319062,0.2660694,-0.2660694,0,1,12.6719325,,,,,481.205367,,,,,12.8332,0.007,-0.007,0,1,84.5243,0.1908,-0.1908,0,1,3478.0,157.0,-157.0,0,1,4.76582,0.0069946,-0.0069946,0,1,0.46769,0.0140024,-0.0140024,0,1,2021-07-19 00:13:44,2023-03-13 12:03:19,6.680898064122149,0.00601231682063083,0.8309490201343835,4.38499252057e-313
1728,1729,245.01,245,154618248,154618248.01,1,PC,23h03m07s,345.779176,,,-33d30m01.7s,-33.500473,,,53.271,0.088,-0.088,0.0,1.0,-18.971,0.122,-0.122,0.0,1.0,2460203.438659,0.00124,-0.00124,0,1,8.7709021,9.7e-06,-9.7e-06,0,1,0.926,0.354,-0.354,0,1,1107.0,3600.33,-3600.33,0,1,12.5053,3.72981,-3.72981,0,1,102.621,,,,,886.0,,,,,8.5509,0.006,-0.006,0,1,127.272,0.9345,-0.9345,0,1,6208.0,117.0,-117.0,0,1,4.438,,,0,1,1.46,0.01,-0.01,0,1,2018-11-29 21:52:42,2024-12-05 16:02:02,8.008953979196216,0.3846226882565047,1.0951370332234391,0.0
1731,1732,2452.01,2452,219208037,219208037.01,1,FP,06h12m23.57s,93.098193,,,-50d55m51.41s,-50.930948,,,-28.664,0.096,-0.096,0.0,1.0,11.981,0.089,-0.089,0.0,1.0,2459229.062884,0.001847,-0.001847,0,1,0.9776805,0.0001306,-0.0001306,0,1,0.7657397,0.2048794,-0.2048794,0,1,965.3175192,107.619026,-107.619026,0,1,3.3784252,5.26633,-5.26633,0,1,1378.7254797,,,,,1554.1366421,,,,,11.1925,0.006,-0.006,0,1,148.462,0.9405,-0.9405,0,1,4456.2,205.6,-205.6,0,1,,,,0,1,1.09813,0.0921256,-0.0921256,0,1,2021-02-03 22:59:10,2021-10-29 12:59:15,6.598429896252548,0.029394312429041128,0.14816865760068995,0.0
1758,1759,2477.01,2477,412054152,412054152.01,1,PC,05h18m58.19s,79.742457,,,+15d12m11.02s,15.203062,,,-1.007,0.069,-0.069,0.0,1.0,-19.383,0.05,-0.05,0.0,1.0,2460218.772868,0.014419,-0.014419,0,1,34.7769296,0.0006345,-0.0006345,0,1,5.598,1.911,-1.911,0,1,1383.0,2418.13,-2418.13,0,1,12.9584,4.51382,-4.51382,0,1,511.815,,,,,229.0,,,,,10.2422,0.006,-0.006,0,1,362.227,5.0755,-5.0755,0,1,7505.2,206.7,-206.7,0,1,4.09,0.12,-0.12,0,1,1.96,0.18,-0.18,0,1,2021-02-03 23:44:47,2024-01-03 10:08:03,3.8825187339108402,0.001109030686278677,8.957311473155311,9.66854266423195e-10
1786,1787,2501.01,2501,134471108,134471108.01,1,PC,07h12m15.98s,108.066593,,,-44d01m39.16s,-44.027544,,,-8.561,0.04,-0.04,0.0,1.0,-17.973,0.044,-0.044,0.0,1.0,2459203.653227,0.001892,-0.001892,0,1,5.3262922,2.9e-05,-2.9e-05,0,1,2.2585228,1.1655861,-1.1655861,0,1,1501.6874101,128.84727,-128.84727,0,1,2.6350944,3.2300198,-3.2300198,0,1,40.1166389,,,,,641.8756259,,,,,11.6751,0.006,-0.006,0,1,93.8832,0.17855,-0.17855,0,1,4066.0,128.471,-128.471,0,1,4.60684,0.119248,-0.119248,0,1,0.658727,0.0671608,-0.0671608,0,1,2021-02-19 00:37:59,2024-02-23 10:08:02,8.96396503654209,0.010542400851429126,0.594189310008136,5.390903266110209e-188
1790,1791,2505.01,2505,443127052,443127052.01,1,PC,06h21m56.77s,95.486535,,,-11d32m29.02s,-11.541394,,,-17.171,0.062,-0.062,0.0,1.0,28.333,0.07,-0.07,0.0,1.0,2459222.132135,0.004331,-0.004331,0,1,2.8972041,2.51e-05,-2.51e-05,0,1,1.958,0.423,-0.423,0,1,640.0,2.89313,-2.89313,0,1,4.096,0.36334,-0.36334,0,1,470.021,,,,,1297.0,,,,,10.7015,0.006,-0.006,0,1,282.783,3.657,-3.657,0,1,5879.0,240.2,-240.2,0,1,4.09,0.09,-0.09,0,1,1.55,0.08,-0.08,0,1,2021-03-02 22:28:40,2021-10-29 12:59:15,1.7440135561270322,0.0031276009344245923,1.6612279702881911,1.7152107177321415e-05
1820,1821,2531.01,2531,262843259,262843259.01,1,PC,03h30m07.49s,52.531218,,,-60d52m32.24s,-60.875623,,,-11.274,0.03,-0.03,0.0,1.0,-0.803,0.03,-0.03,0.0,1.0,2460158.3149,0.00107,-0.00107,0,1,8.1484094,9.1e-06,-9.1e-06,0,1,3.168587,0.1065808,-0.1065808,0,1,13497.6071224,265.38266,-265.38266,0,1,10.1405034,0.6766869,-0.6766869,0,1,91.987019,,,,,789.8623006,,,,,12.4329,0.006,-0.006,0,1,314.693,1.633,-1.633,0,1,5320.0,130.4,-130.4,0,1,4.52,0.09,-0.09,0,1,0.873132,0.048402,-0.048402,0,1,2021-03-02 22:57:47,2024-11-01 12:03:14,0.58250624698314,0.005439690085696464,13.988535646100713,2.481135248394104e-46
1880,1881,2583.01,2583,7548817,7548817.01,1,CP,18h09m04.09s,272.267029,,,+45d20m12.84s,45.3369,,,7.682,0.035,-0.035,0.0,1.0,5.014,0.039,-0.039,0.0,1.0,2459735.896093,0.001151,-0.001151,0,1,4.52074,8.8e-06,-8.8e-06,0,1,4.175,0.137,-0.137,0,1,8520.0,1.18985,-1.18985,0,1,13.7321,0.68157,-0.68157,0,1,713.859,,,,,1440.0,,,,,12.0453,0.007,-0.007,0,1,566.189,6.399,-6.399,0,1,6050.0,127.6,-127.6,0,1,4.14,0.08,-0.08,0,1,1.49,0.07,-0.07,0,1,2021-03-18 22:24:57,2023-12-03 12:03:15,1.50703430968907,0.010286947256703951,2.99975917663926,2.0802035032970917e-245
1915,1916,2614.01,2614,263075864,263075864.01,1,PC,01h08m46.87s,17.195291,,,-78d10m23.23s,-78.17312,,,20.069,1.022,-1.022,0.0,1.0,-6.358,1.022,-1.022,0.0,1.0,2459037.589401,0.000385,-0.000385,0,1,4.8103214,2.9e-06,-2.9e-06,0,1,3.1996589,0.0469669,-0.0469669,0,1,16651.539925,234.20128,-234.20128,0,1,,,,0,1,374.9720646,,,,,1122.3271735,,,,,11.457,0.021,-0.021,0,1,315.469,,,0,1,5860.3,5952.3,-5952.3,0,1,4.3,2.0,-2.0,0,1,,,,0,1,2021-04-12 21:05:06,2024-09-06 10:08:02,5.153296770587773,0.08681378079281465,0.9334454455358965,0.0
1928,1929,2626.01,2626,300604770,300604770.01,1,PC,07h34m14.3s,113.559595,,,-67d44m54.13s,-67.748369,,,20.211,0.024,-0.024,0.0,1.0,-47.844,0.024,-0.024,0.0,1.0,2459963.894598,0.000238,-0.000238,0,1,3.4562767,6.5e-06,-6.5e-06,0,1,2.3613816,0.0265156,-0.0265156,0,1,20448.8800177,122.564735,-122.564735,0,1,10.5605032,0.8884846,-0.8884846,0,1,121.8298519,,,,,847.3409174,,,,,12.6082,0.006,-0.006,0,1,192.435,0.489,-0.489,0,1,4404.0,121.8,-121.8,0,1,4.52,0.1,-0.1,0,1,0.752032,0.0624674,-0.0624674,0,1,2021-04-12 21:05:08,2024-08-22 10:08:01,0.8641476520929159,0.012046849897078792,3.9996367422038315,0.0
