rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,ls_period,ls_power,period_discrepancy_ratio,fap_ls
334,335,1278.01,1278,163539739,163539739.01,1,CP,21h21m54.83s,320.478444,,,+35d38m55.05s,35.648625,,,-89.556,0.035,-0.035,0.0,1.0,-46.868,0.039,-0.039,0.0,1.0,2459826.540249,0.001676,-0.001676,0,1,14.4751062,1.79e-05,-1.79e-05,0,1,1.6182484,0.098467,-0.098467,0,1,9618.5798534,447.69815,-447.69815,0,1,8.6976173,9.471797,-9.471797,0,1,6.5402175,,,,,407.866275,,,,,11.7819,0.007,-0.007,0,1,75.5759,0.15495,-0.15495,0,1,3841.0,157.0,-157.0,0,1,4.69364,0.0093439,-0.0093439,0,1,0.55035,0.0160576,-0.0160576,0,1,2019-10-17 00:30:12,2023-06-13 16:02:07,7.826474354613892,0.004108983160681354,1.8495053512143156,3.3658959950020792e-80
472,473,1399.01,1399,66783360,66783360.01,1,FP,22h47m53.02s,341.970903,,,+49d55m05.06s,49.918072,,,18.039,0.078,-0.078,0.0,1.0,0.467,0.07,-0.07,0.0,1.0,2459881.30632,0.00151,-0.00151,0,1,1.3812787,3.5e-06,-3.5e-06,0,1,2.4,0.746,-0.746,0,1,1573.0,549.312,-549.312,0,1,5.91488,1.10109,-1.10109,0,1,24595.6,,,,,3488.0,,,,,10.2107,0.006,-0.006,0,1,252.396,3.0125,-3.0125,0,1,6483.0,147.9,-147.9,0,1,4.28,0.08,-0.08,0,1,1.38,0.06,-0.06,0,1,2019-10-30 21:47:37,2023-05-24 12:02:59,0.6905860988577477,0.0056395615623531375,2.000154220139503,1.62336861803302e-263
496,497,1419.01,1419,311035838,311035838.01,1,KP,13h44m22.56s,206.094014,,,+48d01m42.83s,48.028565,,,-19.746,0.034,-0.034,0.0,1.0,-24.008,0.038,-0.038,0.0,1.0,2459661.5681,0.000185,-0.000185,0,1,2.8997405,9e-07,-9e-07,0,1,1.849,0.027,-0.027,0,1,13760.0,0.845474,-0.845474,0,1,10.0433,0.564205,-0.564205,0,1,176.587,,,,,1015.0,,,,,10.7164,0.006,-0.006,0,1,134.554,0.4785,-0.4785,0,1,5224.0,118.05,-118.05,0,1,4.55801,0.0804107,-0.0804107,0,1,0.82,0.05,-0.05,0,1,2019-11-06 20:55:18,2022-07-14 10:10:02,9.366910232192437,0.0030301003369527174,0.3095727863425122,3.2370952771626304e-29
554,555,1466.01,1466,237086564,237086564.01,1,PC,20h29m35.17s,307.396532,,,+61d33m02.61s,61.550725,,,71.523,0.047,-0.047,0.0,1.0,67.97,0.042,-0.042,0.0,1.0,2459823.877249,0.003484,-0.003484,0,1,1.8718991,8e-06,-8e-06,0,1,1.475,0.299,-0.299,0,1,920.0,86.4538,-86.4538,0,1,2.40733,0.800205,-0.800205,0,1,167.099,,,,,1001.0,,,,,11.0278,0.006,-0.006,0,1,86.5783,0.1684,-0.1684,0,1,4201.0,125.587,-125.587,0,1,4.5079,0.110712,-0.110712,0,1,0.75,0.07,-0.07,0,1,2019-12-05 16:42:06,2022-12-07 16:02:01,13.187752559152203,0.011037955199515854,0.14194223705698178,0.0
676,677,1573.01,1573,302773669,302773669.01,1,KP,02h49m44.79s,42.436612,,,+71d45m11.12s,71.753088,,,90.982,0.064,-0.064,0.0,1.0,-33.197,0.062,-0.062,0.0,1.0,2460463.952965,0.000847,-0.000847,0,1,21.216464,3.24e-05,-3.24e-05,0,1,3.045,0.254,-0.254,0,1,6499.0,154.155,-154.155,0,1,13.1431,0.688533,-0.688533,0,1,18.9464,,,,,581.0,,,,,7.6353,0.006,-0.006,0,1,78.0863,0.239,-0.239,0,1,5925.0,89.5,-89.5,0,1,4.1,0.08,-0.08,0,1,1.55,0.08,-0.08,0,1,2019-12-19 20:58:21,2024-08-29 10:08:02,19.050285524480884,0.0028615500718964294,1.1137084519145621,2.610363037023828e-247
706,707,1600.01,1600,187029841,187029841.01,1,FP,02h18m13.43s,34.555963,,,+38d28m43.77s,38.478824,,,7.486,0.165,-0.165,0.0,1.0,-15.684,0.215,-0.215,0.0,1.0,2459909.805131,0.00071,-0.00071,0,1,0.361112,5e-07,-5e-07,0,1,0.756,0.228,-0.228,0,1,710.0,1658.72,-1658.72,0,1,6.69136,0.509829,-0.509829,0,1,2677.39,,,,,2003.0,,,,,9.66027,0.006,-0.006,0,1,252.419,10.38,-10.38,0,1,6056.9,236.7,-236.7,0,1,3.99,0.1,-0.1,0,1,1.95,0.15,-0.15,0,1,2019-12-19 20:58:22,2025-02-28 16:00:02,,,,
712,713,1606.01,1606,125735470,125735470.01,1,APC,03h46m38.47s,56.660282,,,+27d28m17.48s,27.471523,,,-1.071,0.1,-0.1,0.0,1.0,-20.686,0.081,-0.081,0.0,1.0,2460228.527139,0.001291,-0.001291,0,1,4.7126743,7.3e-06,-7.3e-06,0,1,1.061,0.079,-0.079,0,1,1941.0,72.0373,-72.0373,0,1,6.97602,0.153561,-0.153561,0,1,38.0033,,,,,691.0,,,,,9.08995,0.007,-0.007,0,1,143.312,1.81,-1.81,0,1,5626.5,213.9,-213.9,0,1,,,,0,1,1.55,0.01,-0.01,0,1,2019-12-19 20:58:22,2023-12-06 16:02:01,5.8419081728430795,0.5930858957446369,0.8067011942959871,0.0
733,734,1625.01,1625,470852531,470852531.01,1,FP,23h58m57.88s,359.741171,,,+61d33m14.72s,61.554089,,,37.502,0.052,-0.052,0.0,1.0,-13.408,0.071,-0.071,0.0,1.0,2458765.53404,0.00394,-0.00394,0,1,1.49446,0.00023,-0.00023,0,1,2.114,0.367,-0.367,0,1,890.0,1.6014,-1.6014,0,1,4.21366,0.272462,-0.272462,0,1,3024.1,,,,,2065.0,,,,,10.2918,0.006,-0.006,0,1,269.476,2.3625,-2.3625,0,1,6587.0,163.9,-163.9,0,1,4.27,0.09,-0.09,0,1,1.43,0.06,-0.06,0,1,2019-12-19 20:58:22,2021-10-29 12:59:15,,,,
737,738,1629.01,1629,310003988,310003988.01,1,KP,14h59m29.49s,224.872859,,,+46d57m36.36s,46.9601,,,5.323,0.038,-0.038,0.0,1.0,-7.851,0.047,-0.047,0.0,1.0,2459686.204782,0.000712,-0.000712,0,1,4.5421594,4.8e-06,-4.8e-06,0,1,4.294,0.293,-0.293,0,1,9760.0,2.06738,-2.06738,0,1,17.3816,0.944499,-0.944499,0,1,821.405,,,,,1491.0,,,,,11.191,0.007,-0.007,0,1,435.156,4.3895,-4.3895,0,1,5939.3,133.1,-133.1,0,1,4.0,0.08,-0.08,0,1,1.73,0.09,-0.09,0,1,2020-01-14 19:29:36,2022-12-12 16:02:01,0.7562136059007343,0.010884562949269068,6.006450247069787,1.0251706965685915e-276
789,790,1673.01,1673,470315428,470315428.01,1,FP,04h18m35.64s,64.648489,,,+52d51m54.12s,52.865034,,,19.482,1.018,-1.018,0.0,1.0,20.031,1.084,-1.084,0.0,1.0,2458818.19746,0.00313,-0.00313,0,1,1.08625,0.00036,-0.00036,0,1,2.534,0.268,-0.268,0,1,1110.0,1.54697,-1.54697,0,1,4.65122,0.714178,-0.714178,0,1,4081.88,,,,,2226.0,,,,,10.2851,0.006,-0.006,0,1,222.358,50.771,-50.771,0,1,5562.6,419.2,-419.2,0,1,,,,0,1,1.4,0.21,-0.21,0,1,2020-01-29 22:18:55,2021-10-29 12:59:15,1.4900529195649952,0.37037170722833646,0.7290009540849857,0.0
927,928,178.03,178,251848941,251848941.03,3,CP,00h29m12.48s,7.302011,,,-30d27m14.82s,-30.454116,,,149.953,0.073,-0.073,0.0,1.0,-87.253,0.042,-0.042,0.0,1.0,2458362.954199,0.002034,-0.002034,0,1,9.9616347,2.27e-05,-2.27e-05,0,1,2.4648052,0.39347,-0.39347,0,1,1084.4327062,94.1892,-94.1892,0,1,2.2807327,0.9848358,-0.9848358,0,1,21.8201851,,,,,551.2319188,,,,,10.42,0.006,-0.006,0,1,62.699,0.20675,-0.20675,0,1,4111.0,171.0,-171.0,0,1,4.55528,0.449348,-0.449348,0,1,0.660806,0.0596206,-0.0596206,0,1,2018-11-03 00:53:39,2024-10-03 10:08:02,9.87240050425515,0.0033152779392385053,1.0090387536148262,2.483017304483676e-93
970,971,1810.01,1810,373693175,373693175.01,1,KP,12h33m03.89s,188.266205,,,+44d54m55.32s,44.915367,,,-11.641,0.028,-0.028,0.0,1.0,8.065,0.034,-0.034,0.0,1.0,2459662.70189,0.000185,-0.000185,0,1,1.3273482,6e-07,-6e-07,0,1,2.083,0.065,-0.065,0,1,18850.0,0.448136,-0.448136,0,1,15.4709,0.750927,-0.750927,0,1,1378.13,,,,,1697.0,,,,,11.6281,0.006,-0.006,0,1,294.419,2.252,-2.252,0,1,5555.05,115.611,-115.611,0,1,4.36832,0.075107,-0.075107,0,1,1.07,0.05,-0.05,0,1,2020-04-15 12:38:54,2022-07-14 10:10:02,1.317771125894825,0.061190152577059564,1.007267630863191,0.0
